region,price,year,manufacturer,Domestic,condition,cylinders,fuel,odometer,transmission,drive,size,type,paint_color
ft myers / SW florida,1200,2003,buick,1,fair,6 cylinders,gas,80000,automatic,fwd,mid-size,sedan,white
ft myers / SW florida,13999,2015,buick,1,excellent,6 cylinders,gas,55090,automatic,fwd,mid-size,sedan,white
ft myers / SW florida,7898,2012,chrysler,1,excellent,4 cylinders,gas,69399,automatic,fwd,mid-size,convertible,red
ft myers / SW florida,20698,2014,ford,1,excellent,8 cylinders,gas,78297,automatic,rwd,full-size,truck,white
ft myers / SW florida,18798,2015,buick,1,excellent,6 cylinders,gas,81351,automatic,fwd,full-size,SUV,red
ft myers / SW florida,17750,2017,volkswagen,0,excellent,4 cylinders,gas,16759,automatic,4wd,compact,wagon,blue
ft myers / SW florida,21500,2019,volkswagen,0,excellent,4 cylinders,gas,5889,automatic,fwd,mid-size,SUV,black
ft myers / SW florida,74900,2020,cadillac,1,excellent,8 cylinders,gas,8732,automatic,4wd,full-size,SUV,white
ft myers / SW florida,46900,2019,volvo,0,excellent,4 cylinders,gas,12914,automatic,4wd,mid-size,SUV,grey
ft myers / SW florida,6300,2011,nissan,0,excellent,4 cylinders,gas,88000,automatic,fwd,mid-size,sedan,blue
ft myers / SW florida,3500,2002,ram,1,good,8 cylinders,gas,176000,automatic,4wd,full-size,pickup,silver
ft myers / SW florida,6990,2012,volkswagen,0,excellent,4 cylinders,gas,80412,automatic,fwd,compact,sedan,black
ft myers / SW florida,7990,2014,chevrolet,1,excellent,4 cylinders,gas,95034,automatic,fwd,compact,sedan,grey
ft myers / SW florida,5700,2012,chevrolet,1,excellent,4 cylinders,gas,105000,automatic,fwd,compact,sedan,black
ft myers / SW florida,9390,2009,chevrolet,1,excellent,6 cylinders,gas,99000,automatic,fwd,full-size,SUV,black
ft myers / SW florida,3800,1996,lexus,0,good,8 cylinders,gas,178447,automatic,rwd,full-size,sedan,white
ft myers / SW florida,6500,2003,toyota,0,good,8 cylinders,gas,189000,automatic,4wd,full-size,pickup,black
ft myers / SW florida,21900,2014,volkswagen,0,excellent,4 cylinders,gas,20361,automatic,fwd,sub-compact,convertible,white
ft myers / SW florida,8500,2001,volvo,0,like new,6 cylinders,gas,17500,automatic,fwd,full-size,sedan,white
