,region,price,year,manufacturer,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color
402067,treasure coast,4500,2010.0,mazda,excellent,4 cylinders,gas,163800.0,clean,automatic,fwd,compact,sedan,grey
402122,treasure coast,4000,2007.0,volvo,excellent,5 cylinders,gas,126000.0,clean,automatic,fwd,mid-size,sedan,grey
402126,treasure coast,5995,2008.0,toyota,like new,4 cylinders,gas,161154.0,clean,automatic,fwd,mid-size,sedan,white
402189,treasure coast,15999,1980.0,jeep,excellent,6 cylinders,gas,117000.0,clean,manual,4wd,compact,convertible,white
402196,treasure coast,6500,2006.0,honda,good,4 cylinders,gas,176333.0,clean,automatic,fwd,full-size,sedan,blue
402197,treasure coast,4500,2004.0,toyota,excellent,4 cylinders,gas,138000.0,clean,automatic,fwd,mid-size,sedan,custom
402201,treasure coast,5000,2006.0,chevrolet,excellent,6 cylinders,gas,182000.0,clean,automatic,rwd,full-size,SUV,custom
402214,treasure coast,79900,2020.0,cadillac,like new,8 cylinders,gas,3000.0,clean,automatic,4wd,full-size,SUV,white
402217,treasure coast,5900,2009.0,jeep,excellent,6 cylinders,gas,164400.0,clean,automatic,4wd,mid-size,SUV,silver
402409,treasure coast,9900,2012.0,ford,excellent,6 cylinders,gas,117038.0,clean,automatic,rwd,mid-size,convertible,blue
402482,treasure coast,18800,2012.0,ford,excellent,8 cylinders,diesel,266538.0,clean,automatic,4wd,full-size,truck,white
402490,treasure coast,11500,2014.0,ford,excellent,4 cylinders,gas,92000.0,clean,automatic,4wd,mid-size,SUV,red
402496,treasure coast,78900,2020.0,cadillac,like new,8 cylinders,gas,3200.0,clean,automatic,4wd,full-size,SUV,white
402689,treasure coast,9750,1975.0,ford,excellent,8 cylinders,gas,54000.0,clean,automatic,rwd,compact,coupe,silver
402877,treasure coast,55000,2018.0,ford,like new,8 cylinders,gas,7000.0,lien,manual,rwd,compact,coupe,blue
