,price,years_old,manufacturer,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color
216,8225,12.0,normal,good,4 cylinders,gas,101292.0,clean,automatic,fwd,compact,SUV,blue
217,10995,6.0,normal,excellent,6 cylinders,gas,151857.0,clean,automatic,fwd,full-size,SUV,brown
218,594,1.0,luxury,excellent,6 cylinders,gas,20218.0,clean,automatic,4wd,full-size,sedan,black
219,35000,6.0,normal,good,8 cylinders,gas,135436.0,clean,automatic,4wd,full-size,truck,brown
220,7385,12.0,normal,excellent,6 cylinders,gas,132991.0,clean,automatic,fwd,mid-size,mini-van,brown
221,14995,5.0,normal,excellent,4 cylinders,gas,63411.0,clean,automatic,fwd,full-size,SUV,black
222,2500,17.0,normal,good,6 cylinders,gas,244000.0,clean,automatic,rwd,full-size,SUV,brown
223,14250,7.0,normal,like new,4 cylinders,gas,29000.0,clean,automatic,fwd,mid-size,SUV,silver
224,15800,6.0,normal,like new,5 cylinders,gas,25000.0,clean,automatic,fwd,full-size,convertible,white
225,9250,6.0,normal,excellent,4 cylinders,gas,91739.0,clean,automatic,fwd,full-size,SUV,brown
226,28700,0.0,normal,like new,4 cylinders,gas,20000.0,lien,automatic,fwd,mid-size,sedan,white
227,5900,9.0,normal,good,4 cylinders,gas,125300.0,clean,automatic,fwd,full-size,sedan,blue
228,9250,9.0,normal,excellent,4 cylinders,diesel,86540.0,clean,automatic,fwd,mid-size,hatchback,silver
229,7900,8.0,normal,fair,4 cylinders,hybrid,102440.0,lien,automatic,fwd,mid-size,sedan,black
230,11000,16.0,normal,good,4 cylinders,gas,1018000.0,clean,manual,4wd,compact,offroad,black
231,4900,17.0,normal,good,6 cylinders,gas,184106.0,clean,automatic,fwd,full-size,mini-van,silver
232,16200,5.0,normal,like new,4 cylinders,gas,45900.0,clean,automatic,fwd,full-size,sedan,grey
233,7999,6.0,normal,excellent,4 cylinders,gas,108551.0,clean,automatic,fwd,mid-size,SUV,grey
234,7850,14.0,normal,excellent,6 cylinders,gas,103800.0,clean,automatic,rwd,mid-size,SUV,silver
235,4999,12.0,normal,excellent,6 cylinders,gas,116.0,clean,automatic,rwd,mid-size,SUV,custom
236,32795,4.0,normal,like new,8 cylinders,gas,98943.0,clean,automatic,4wd,full-size,pickup,black
237,17295,8.0,normal,like new,6 cylinders,gas,178288.0,clean,automatic,4wd,full-size,pickup,red
238,36295,1.0,normal,like new,8 cylinders,gas,31657.0,clean,automatic,4wd,full-size,pickup,white
239,36795,1.0,normal,like new,8 cylinders,gas,22750.0,clean,automatic,4wd,full-size,pickup,grey
240,32950,2.0,normal,like new,8 cylinders,gas,57217.0,clean,automatic,4wd,full-size,pickup,red
241,34495,3.0,normal,like new,8 cylinders,gas,36398.0,clean,automatic,4wd,full-size,pickup,red
242,36495,3.0,normal,like new,8 cylinders,gas,28873.0,clean,automatic,4wd,full-size,pickup,black
243,35495,4.0,normal,like new,8 cylinders,gas,38268.0,clean,automatic,4wd,full-size,pickup,red
244,27895,5.0,normal,like new,8 cylinders,gas,101987.0,clean,automatic,4wd,full-size,pickup,black
245,20950,5.0,normal,like new,8 cylinders,gas,104433.0,clean,automatic,rwd,full-size,pickup,silver
246,27950,6.0,normal,like new,8 cylinders,gas,112345.0,clean,automatic,4wd,full-size,pickup,blue
247,26000,4.0,normal,new,4 cylinders,gas,29500.0,clean,automatic,rwd,mid-size,truck,custom
248,1950,16.0,normal,good,6 cylinders,gas,127074.0,clean,automatic,fwd,mid-size,sedan,red
249,3999,19.0,normal,excellent,6 cylinders,gas,159000.0,clean,automatic,fwd,full-size,mini-van,blue
250,34950,1.0,normal,excellent,8 cylinders,gas,42125.0,clean,automatic,4wd,full-size,truck,white
251,36495,3.0,normal,excellent,8 cylinders,gas,37473.0,clean,automatic,4wd,full-size,truck,silver
252,36395,3.0,normal,like new,8 cylinders,gas,36482.0,clean,automatic,4wd,full-size,truck,black
253,0,10.0,normal,good,8 cylinders,gas,0.0,clean,automatic,rwd,mid-size,van,white
254,9900,7.0,normal,excellent,6 cylinders,gas,127272.0,clean,automatic,fwd,full-size,sedan,silver
255,15900,8.0,normal,excellent,8 cylinders,gas,100757.0,clean,automatic,rwd,full-size,SUV,brown
256,21900,8.0,normal,excellent,6 cylinders,diesel,65795.0,clean,automatic,rwd,full-size,truck,white
257,10900,8.0,normal,excellent,4 cylinders,gas,70930.0,clean,automatic,fwd,full-size,SUV,black
258,16900,0.0,normal,like new,4 cylinders,gas,19515.0,clean,automatic,fwd,full-size,sedan,grey
259,38495,3.0,normal,like new,8 cylinders,gas,28000.0,clean,automatic,rwd,full-size,truck,black
260,4900,11.0,normal,good,4 cylinders,gas,103775.0,clean,manual,fwd,compact,hatchback,white
261,1900,11.0,normal,good,4 cylinders,gas,18823.0,clean,automatic,fwd,full-size,hatchback,grey
262,4200,14.0,normal,like new,6 cylinders,gas,169359.0,clean,automatic,4wd,mid-size,sedan,white
263,4999,12.0,luxury,like new,6 cylinders,gas,256500.0,clean,automatic,fwd,mid-size,sedan,black
264,9800,15.0,normal,like new,8 cylinders,gas,150.0,clean,automatic,rwd,full-size,SUV,white
